number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
5953,Hafferia zeledoni,unknown,6.2141,0.0591
5954,Halcyon albiventris,unknown,6.8499,0.0681
5955,Halcyon badia,unknown,6.8281,0.0692
5956,Halcyon chelicuti,unknown,6.506,0.0662
5957,Halcyon coromanda,unknown,6.7437,0.062
5958,Halcyon cyanoventris,unknown,7.3356,0.0967
5959,Halcyon gularis,unknown,7.6035,0.0912
5960,Halcyon leucocephala,unknown,7.7446,0.0764
5961,Halcyon malimbica,unknown,7.383,0.1089
5962,Halcyon pileata,unknown,7.4444,0.1
5963,Halcyon senegalensis,unknown,7.3801,0.0989
5964,Halcyon senegaloides,unknown,6.3293,0.0619
5965,Halcyon smyrnensis,unknown,7.5521,0.0993
5966,Haliaeetus albicilla,unknown,6.9872,0.08
5967,Haliaeetus humilis,unknown,5.4889,0.0584
5968,Haliaeetus ichthyaetus,unknown,5.9989,0.0648
5969,Haliaeetus leucocephalus,unknown,7.1801,0.0782
5970,Haliaeetus leucogaster,unknown,6.5535,0.0874
5971,Haliaeetus leucoryphus,unknown,7.0607,0.1009
5972,Haliaeetus pelagicus,unknown,6.9017,0.0922
5973,Haliaeetus sanfordi,unknown,6.2301,0.0588
5974,Haliaeetus vocifer,unknown,7.2001,0.0889
5975,Haliaeetus vociferoides,unknown,6.3672,0.0725
5976,Haliastur indus,unknown,6.6518,0.0714
5977,Haliastur sphenurus,unknown,5.9098,0.0488
5978,Halobaena caerulea,unknown,5.6831,0.0514
5979,Hamirostra melanosternon,unknown,6.808,0.084
5980,Hapalocrex flaviventer,unknown,6.2199,0.0577
5981,Hapalopsittaca amazonina,unknown,6.1733,0.0535
5982,Hapalopsittaca fuertesi,unknown,7.5623,0.098
5983,Hapalopsittaca melanotis,unknown,4.5148,0.0781
5984,Hapalopsittaca pyrrhops,unknown,6.5471,0.069
5985,Hapaloptila castanea,unknown,5.8609,0.0457
5986,Haplophaedia assimilis,unknown,6.205,0.0668
5987,Haplophaedia aureliae,female,7.6803,0.097
5988,Haplophaedia aureliae,male,7.0717,0.0533
5989,Haplophaedia aureliae,unknown,7.2781,0.0852
5990,Haplophaedia lugens,unknown,6.422,0.0721
5991,Haplospiza unicolor,female,5.1773,0.0947
5992,Haplospiza unicolor,male,6.0726,0.0424
5993,Haplospiza unicolor,unknown,5.1743,0.0598
5994,Harpactes ardens,female,6.3618,0.0591
5995,Harpactes ardens,male,7.1512,0.0708
5996,Harpactes ardens,unknown,7.1391,0.0756
5997,Harpactes diardii,male,7.389,0.057
5998,Harpactes diardii,unknown,7.2484,0.0982
5999,Harpactes duvaucelii,male,7.5563,0.0876
6000,Harpactes duvaucelii,unknown,7.4028,0.0915
6001,Harpactes erythrocephalus,male,7.3496,0.0348
6002,Harpactes erythrocephalus,unknown,7.1231,0.0925
6003,Harpactes fasciatus,female,7.1745,0.1083
6004,Harpactes fasciatus,male,7.7378,0.1364
6005,Harpactes fasciatus,unknown,7.1973,0.0884
6006,Harpactes kasumba,male,7.408,0.048
6007,Harpactes kasumba,unknown,7.6346,0.119
6008,Harpactes mackloti,unknown,7.5006,0.0834
6009,Harpactes oreskios,male,6.832,0.0829
6010,Harpactes oreskios,unknown,7.098,0.1106
6011,Harpactes orrhophaeus,male,6.9876,0.083
6012,Harpactes orrhophaeus,unknown,7.5206,0.1168
6013,Harpactes reinwardtii,male,7.34,0.0795
6014,Harpactes reinwardtii,unknown,7.1773,0.1089
6015,Harpactes wardi,female,5.8689,0.0609
6016,Harpactes wardi,male,6.723,0.1716
6017,Harpactes wardi,unknown,7.2009,0.0915
6018,Harpactes whiteheadi,unknown,7.3034,0.1005
6019,Harpagus bidentatus,male,6.2405,0.0051
6020,Harpagus bidentatus,unknown,5.9625,0.0643
